team,sweet_16,elite_eight
Akron Zips,1200,3500
Alabama Crimson Tide,-105,330
Arizona Wildcats,-325,104
Auburn Tigers,-225,290
Baylor Bears,-128,320
BYU Cougars,132,390
Charleston Cougars,1300,2800
Clemson Tigers,360,920
Colgate Raiders,1800,7000
Colorado Buffaloes,330,710
Colorado St Rams,540,1200
Creighton Bluejays,-194,205
Dayton Flyers,610,1120
Drake Bulldogs,570,1200
Duke Blue Devils,-122,350
Duquesne Dukes,980,3000
Florida Atlantic Owls,790,1300
Florida Gators,270,540
Gonzaga Bulldogs,116,470
Grambling St Tigers,10000,30000
Grand Canyon Antelopes,490,1400
Houston Cougars,-420,-134
Illinois Fighting Illini,-142,235
Iowa State Cyclones,-290,146
James Madison Dukes,680,2500
Kansas Jayhawks,172,630
Kentucky Wildcats,-138,235
Long Beach St 49ers,3500,8000
Longwood Lancers,8000,30000
Marquette Golden Eagles,-142,205
McNeese Cowboys,570,1800
Michigan St Spartans,290,610
Mississippi St Bulldogs,390,920
Morehead St Eagles,1800,5000
NC State Wolfpack,490,1260
Nebraska Cornhuskers,590,1200
Nevada Wolf Pack,470,1120
New Mexico Lobos,220,710
North Carolina Tar Heels,-205,172
Northwestern Wildcats,820,1800
Oakland Golden Grizzlies,1800,8000
Oregon Ducks,390,1260
Purdue Boilermakers,-430,-142
Saint Mary's Gaels,168,420
Saint Peter's Peacocks,8000,10000
Samford Bulldogs,820,2200
San Diego St Aztecs,225,880
South Carolina Gamecocks,420,1120
South Dakota St Jackrabbits,3000,8000
Stetson Hatters,8000,30000
TCU Horned Frogs,490,980
Tennessee Volunteers,-215,134
Texas A&M Aggies,730,1600
Texas Longhorns,310,710
Texas Tech Red Raiders,172,520
UAB Blazers,2200,5500
UConn Huskies,-650,-160
Utah State Aggies,760,1600
Vermont Catamounts,1040,4000
Wagner Seahawks,7000,30000
Washington St Cougars,420,1040
Western Kentucky Hilltoppers,1800,7000
Wisconsin Badgers,186,630
Yale Bulldogs,920,3500
